time,Open,High,Low,Close,Volume,Market Spread,Change,MA(5days),MA(20days),MA(50days),MA(88days),MA(100days),MA(200days),EMA(5days),STD(5days),EMA(20days),STD(20days),EMA(50days),STD(50days),EMA(100days),STD(100days),MACD0,MACD1,MACD2,MACD3,MACD4,MACD5,Bollinger Upper,Bollinger Lower
2/11/2021,44850,48690,44011,47997.91,81388911810,4679,0.070187514,44936.432,37037.1585,34738.0104,28149.16795,26638.7575,19050.21515,44947.47596,3568.63606,39119.07036,5436.216288,34291.04861,5379.448235,28600.52733,9141.150368,5828.4056,10656.42735,16346.94863,4828.021749,10518.54303,5690.521284,47909.59108,26164.72592
2/12/2021,47993.6,48912,46300,47408.34,76555041196,2612,-0.012283243,46643.816,37801.975,35211.818,28497.82364,26971.2261,19232.0123,45767.76397,1192.77107,39908.52461,5772.447878,34805.4522,5432.058583,28972.95926,9286.213274,5859.239361,10962.31178,16794.80471,5103.072416,10935.56535,5832.492934,49346.87076,26257.07924
2/13/2021,47408.34,48199,46300,47232.45,70250456155,1899,-0.003710107,46800.686,38549.1695,35662.3728,28833.6542,27287.4685,19413.5034,46255.99265,1212.018517,40606.04132,5984.506561,35292.78544,5476.856792,29334.53334,9432.664113,5649.951333,10963.20721,16921.45931,5313.255873,11271.50798,5958.252107,50518.18262,26580.15638
2/14/2021,47240.75,49700,47100.13,48680.69,71248675228,2599.87,0.030661971,47233.878,39370.1105,36106.4796,29184.76534,27618.2759,19601.35625,47064.2251,1448.302731,41375.05548,6198.94196,35817.80131,5615.241118,29717.62555,9597.278948,5689.169623,11246.42379,17346.59955,5557.254168,11657.42993,6100.175761,51767.99442,26972.22658
2/15/2021,48667.23,49093.44,45768.46,47936.37,77069903166,3324.98,-0.015289841,47851.152,40141.388,36540.034,29526.97886,27949.2987,19785.45835,47354.94007,569.1678012,41999.94257,6259.915516,36293.0393,5675.913657,30078.39276,9721.942529,5354.997492,11061.90077,17276.5473,5706.903278,11921.54981,6214.646532,52661.21903,27621.55697
2/16/2021,47935.66,50645,47051.22,49158.71,77049582886,3593.78,0.025499219,48083.312,41078.967,36982.401,29873.38182,28286.0568,19974.4938,47956.19671,823.7849581,42681.72995,6128.10408,36797.5754,5781.367937,30456.22083,9867.90938,5274.466763,11158.62131,17499.97588,5884.154545,12225.50912,6341.354574,53335.17516,28822.75884
2/17/2021,49141.43,52640.35,48942.87,52170.01,80820545404,3697.48,0.061256693,49035.646,42013.018,37478.4742,30253.48182,28654.3344,20176.2935,49360.80114,1899.032631,43585.37567,6330.685467,37400.41597,5999.450902,30886.19685,10065.20467,5775.425474,11960.38517,18474.60429,6184.959692,12699.17882,6514.219123,54674.38893,29351.64707
2/18/2021,52170.01,52549.99,50875,51601.73,52054723579,1674.99,-0.010892848,49909.502,42879.999,37932.5604,30630.34625,29017.2014,20378.95945,50107.77743,1866.845566,44348.83798,6400.278337,37957.33025,6192.818907,31296.40543,10232.15611,5758.939443,12150.44718,18811.372,6391.507734,13052.43256,6660.924822,55680.55567,30079.44233
2/19/2021,51596,56370.05,50725,55983.56,63495496918,5645.05,0.084916339,51370.076,43963.3955,38472.43,31057.60466,29419.9791,20602.7116,52066.37162,3108.788714,45456.90675,6701.090359,38664.24122,6562.877925,31785.25997,10492.31208,6609.46487,13402.1304,20281.11164,6792.665527,13671.64677,6878.981246,57365.57622,30561.21478
2/20/2021,55983.57,57563.57,54000.1,55923.52,68145460026,3563.47,-0.001072458,52967.506,45102.6845,39002.6436,31475.22602,29816.1062,20826.344,53352.08775,2951.392528,46453.72706,6700.659043,39341.07568,6879.287182,32263.24532,10737.29852,6898.360688,14011.01206,21088.84242,7112.651375,14190.48174,7077.830361,58504.00259,31701.36641
2/21/2021,55921.44,58367,55531.23,57489.16,51897585191,2835.77,0.027996092,54633.596,46300.483,39507.9086,31915.76273,30227.6022,21055.00605,54731.11183,2593.357857,47504.72067,6664.734164,40052.76526,7287.06927,32762.76838,11000.87971,7226.391159,14678.34657,21968.34345,7451.955407,14741.95229,7289.996879,59629.95133,32971.01467
2/22/2021,57489.16,57577.69,46616,54142.13,92052420332,10961.69,-0.058220193,55028.02,47231.956,39929.138,32335.90057,30608.2034,21266.84725,54534.78455,2252.579149,48136.85489,6373.120476,40605.28937,7513.181274,33186.12208,11163.72065,6397.929661,13929.49518,21348.66247,7531.565522,14950.73281,7419.167291,59978.19695,34485.71505
2/23/2021,54125.67,54206.22,44888.08,48899.99,1.06102E+11,9318.14,-0.096821828,54487.672,47793.037,40266.738,32696.65102,30937.5344,21453.3146,52656.5197,3341.027537,48209.53443,5968.918273,40930.57175,7529.763561,33497.28778,11213.09332,4446.985275,11725.94795,19159.23192,7278.962678,14712.24665,7433.283967,59730.87355,35855.20045
